31.03;978.72;800;16288;1460;-695;-32;-203;19;28;33;19;28;33;0
31.04;978.73;832;16224;1512;-674;-9;-238;19;28;32;19;28;32;0
31.04;978.72;708;16256;1652;-739;-50;-243;19;27;31;19;27;31;0
31.05;978.69;696;16340;1324;-1180;-17;-297;19;27;31;19;27;31;0
31.05;978.67;876;16288;1600;-701;-27;-277;19;27;31;19;27;31;0
31.05;978.67;812;16224;1636;-601;-32;-225;19;27;31;19;27;31;0
31.05;978.69;824;16264;1568;-712;-64;-241;19;27;31;19;27;31;0
31.06;978.71;824;16344;1624;-697;-28;-223;19;27;31;19;27;31;0
31.07;978.73;792;16232;1456;-463;-35;-195;19;27;31;19;27;31;0
31.07;978.71;696;16256;1700;-1003;-25;-254;19;27;31;19;27;31;0
31.08;978.72;804;16196;1584;-560;-41;-231;19;27;31;19;27;31;0
31.07;978.72;904;16296;1488;-377;-29;-232;19;27;31;19;27;31;0
31.07;978.74;804;16260;1592;-746;-37;-201;19;27;31;19;27;31;0
31.07;978.71;784;16200;1544;-810;-35;-252;19;27;31;19;27;31;0
31.08;978.71;752;16308;1704;-700;-25;-216;19;27;31;19;27;31;0
31.07;978.71;828;16272;1464;-710;-55;-234;19;27;31;19;27;31;0
31.07;978.72;800;16268;1608;-727;-48;-253;19;27;31;19;27;31;0
31.08;978.73;804;16308;1548;-907;-55;-255;19;27;31;19;27;31;0
31.08;978.67;800;16224;1516;-736;-40;-217;19;27;31;19;27;31;0
31.07;978.68;836;16332;1584;-684;-33;-225;19;27;31;19;27;31;0
31.07;978.68;732;16248;1512;-698;-49;-248;19;27;31;19;27;31;0
31.07;978.68;864;16312;1620;-1295;-42;-370;19;27;31;19;27;31;0
31.07;978.69;728;16368;1500;-719;-42;-239;19;27;31;19;27;31;0
31.06;978.69;856;16392;1472;-722;-33;-234;19;27;31;19;27;31;0
31.06;978.68;868;16320;1656;-660;-41;-230;19;27;31;19;27;31;0
31.06;978.68;888;16316;1648;-725;-45;-222;19;27;31;19;27;31;0
31.06;978.70;764;16364;1488;-696;-28;-233;19;27;31;19;27;31;0
31.06;978.67;868;16268;1472;-730;-29;-232;19;27;31;19;27;31;0
31.05;978.66;800;16392;1536;-715;-41;-221;19;27;31;19;27;31;0
31.05;978.72;752;16276;1512;-722;-27;-224;19;27;31;19;27;31;0
31.04;978.71;820;16344;1568;-732;-36;-228;19;27;31;19;27;31;0
31.04;978.72;832;16220;1576;-716;-22;-225;19;27;31;19;27;31;0
31.04;978.74;808;16268;1516;-724;-10;-219;19;27;31;19;27;31;0
31.05;978.75;864;16256;1604;-728;-64;-232;19;27;31;19;27;31;0
31.03;978.70;832;16252;1524;-702;-37;-235;19;27;31;19;27;31;0
31.03;978.75;860;16288;1428;-713;-34;-226;19;27;31;19;27;31;0
31.03;978.73;860;16252;1636;-721;-32;-235;19;28;32;19;28;32;0
31.03;978.72;828;16360;1592;-710;-61;-238;19;27;31;19;27;31;0
31.03;978.71;832;16264;1812;-1429;2;-220;19;27;31;19;27;31;0
31.01;978.68;744;16248;1544;-673;-21;-187;19;27;31;19;27;31;0
31.00;978.68;744;16192;1632;-687;-59;-247;19;28;32;19;28;32;0
31.01;978.71;864;16280;1580;-847;-22;-260;19;28;32;19;28;32;0
31.00;978.70;828;16332;1416;-744;-37;-227;19;28;32;19;28;32;0
31.01;978.75;864;16268;1520;-656;-34;-240;19;27;31;19;27;31;0
30.99;978.70;720;16304;1592;-663;-39;-210;19;27;31;19;27;31;0
30.99;978.70;924;16212;1584;-742;-54;-247;19;28;32;19;28;32;0
30.99;978.71;824;16256;1572;-731;-35;-232;19;27;31;19;27;31;0
30.98;978.73;808;16348;1632;-734;-40;-225;19;27;31;19;27;31;0
30.98;978.68;800;16372;1604;-703;-19;-227;19;27;31;19;27;31;0
30.98;978.67;876;16460;1544;-728;-11;-214;19;27;31;19;27;31;0
30.98;978.70;884;16316;1504;-739;-28;-234;19;27;31;19;27;31;0
30.97;978.67;784;16268;1592;-837;-30;-233;19;27;31;19;27;31;0
30.97;978.72;928;16232;1780;-775;-62;-268;19;27;31;19;27;31;0
30.97;978.68;764;16332;1436;-611;-53;-212;19;27;31;19;27;31;0
30.95;978.68;832;16324;1428;-711;-35;-221;19;28;32;19;28;32;0
30.94;978.68;868;16332;1628;-723;-43;-227;19;28;33;19;28;33;0
30.95;978.68;832;16368;1556;-727;-38;-239;20;29;34;20;29;34;0
30.94;978.69;792;16316;1528;-702;-48;-236;19;28;33;19;28;33;0
30.93;978.68;776;16348;1432;-707;-11;-223;19;28;33;19;28;33;0
30.93;978.68;736;16284;1560;-705;-26;-237;19;28;33;19;28;33;0
30.93;978.68;764;16252;1536;-726;-27;-243;19;28;32;19;28;32;0
30.92;978.67;832;16264;1668;-718;-33;-237;19;27;31;19;27;31;0
30.91;978.72;888;16324;1476;-704;-29;-225;19;27;31;19;27;31;0
30.90;978.71;832;16380;1472;-744;-21;-233;19;27;31;19;27;31;0
30.90;978.67;800;16256;1632;-722;-20;-230;19;27;31;19;27;31;0
30.89;978.71;860;16380;1536;-738;-4;-220;19;27;31;19;27;31;0
30.88;978.70;912;16324;1676;-842;-23;-262;19;27;31;19;27;31;0
30.88;978.72;888;16344;1696;-719;-75;-158;19;27;31;19;27;31;0
30.87;978.72;844;16296;1752;-796;-39;-223;19;27;31;19;27;31;0
30.88;978.72;972;16292;1488;-698;-39;-210;19;27;31;19;27;31;0
30.88;978.74;852;16272;1396;-896;-54;-241;19;27;31;19;27;31;0
30.88;978.70;784;16284;1572;-726;-40;-198;19;27;31;19;27;31;0
30.88;978.70;876;16336;1616;-713;-24;-239;19;27;31;19;27;31;0
30.87;978.71;760;16320;1736;-638;-24;-196;19;27;31;19;27;31;0
30.87;978.70;916;16368;1380;-612;-62;-211;19;27;31;19;27;31;0
30.86;978.69;852;16360;1528;-760;-53;-242;19;27;31;19;27;31;0
30.87;978.68;788;16244;1688;-483;-7;-228;19;27;31;19;27;31;0
30.78;978.63;632;16272;1536;264;-85;-80;19;27;31;19;27;31;0
30.77;978.64;716;16248;1648;-715;-51;-225;19;27;31;19;27;31;0
30.77;978.64;792;16288;1460;-893;-20;-212;19;27;31;19;27;31;0
30.75;978.62;692;16228;1504;-717;-14;-256;19;27;31;19;27;31;0
30.75;978.66;672;16380;1600;-724;-8;-239;19;27;31;19;27;31;0
30.73;978.68;664;16276;1420;-619;-24;-230;19;27;31;19;27;31;0
30.73;978.69;836;16316;1516;-801;-37;-250;19;27;31;19;27;31;0
30.74;978.67;968;16440;1560;-762;-19;-135;19;27;31;19;27;31;0
30.73;978.67;708;16348;2180;-686;-27;-235;19;27;31;19;27;31;0
30.73;978.68;636;16300;2164;-606;-12;-242;19;27;31;19;27;31;0
30.72;978.63;704;16332;1944;-703;-34;-205;19;27;31;19;27;31;0
30.70;978.64;608;16372;1812;-940;-35;-252;18;26;30;18;26;30;0
30.67;978.68;656;16292;1676;-701;-33;-230;18;26;30;18;26;30;0
30.63;978.67;708;16356;1876;-691;-43;-218;18;26;30;18;26;30;0
30.63;978.69;664;16288;1852;-693;-26;-223;18;26;30;18;26;30;0
30.63;978.68;672;16332;1732;-722;-32;-228;18;26;30;18;26;30;0
30.60;978.71;852;16332;1840;-432;-4;-180;19;27;31;19;27;31;0
30.61;978.70;584;16316;2168;-1026;-15;-254;19;27;31;19;27;31;0
30.59;978.68;604;16316;2152;-513;-37;-261;19;27;31;19;27;31;0
30.57;978.64;644;16260;1796;-737;-46;-219;19;27;31;19;27;31;0

